date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:35:22	81899/81899	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2013:35:22%20GMT	https://www.mayoclinic.org/	C:/inetrship/heath3/www.mayoclinic.org/index.html	(from )
06:35:22	413/413	---M-Z	200	added ('OK')	text/plain	date:Sun,%2002%20Oct%202022%2013:35:22%20GMT	https://www.mayoclinic.org/robots.txt		(from )
06:35:22	12340/12340	---M--	200	added ('OK')	image/png	etag:d3bd075a8df641a1a053666e042ec201	https://www.mayoclinic.org/-/media/web/gbs/shared/images/apple-touch-icon-152x152.png	C:/inetrship/heath3/www.mayoclinic.org/-/media/web/gbs/shared/images/apple-touch-icon-152x152.png	(from https://www.mayoclinic.org/)
06:35:22	381/381	---M--	200	added ('OK')	image/png	etag:08d7f59ce9524ab7831d596048830116	https://www.mayoclinic.org/-/media/web/gbs/shared/images/favicon.png	C:/inetrship/heath3/www.mayoclinic.org/-/media/web/gbs/shared/images/favicon.png	(from https://www.mayoclinic.org/)
06:35:24	16178/16178	---M--	200	added ('OK')	image/png	etag:1c87b2a4fb794abe8b45e499321606fe	https://www.mayoclinic.org/-/media/web/gbs/shared/images/mstile-144x144.png	C:/inetrship/heath3/www.mayoclinic.org/-/media/web/gbs/shared/images/mstile-144x144.png	(from https://www.mayoclinic.org/)
06:35:26	84241/84241	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2013:35:26%20GMT	https://www.mayoclinic.org/es-es	C:/inetrship/heath3/www.mayoclinic.org/es-es.html	(from https://www.mayoclinic.org/)
06:35:27	95185/95185	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2013:35:27%20GMT	https://www.mayoclinic.org/ar	C:/inetrship/heath3/www.mayoclinic.org/ar.html	(from https://www.mayoclinic.org/)
06:35:28	85248/85248	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2013:35:28%20GMT	https://www.mayoclinic.org/zh-hans	C:/inetrship/heath3/www.mayoclinic.org/zh-hans.html	(from https://www.mayoclinic.org/)
06:35:28	480862/480862	---M-Z	200	added ('OK')	text/css	etag:%22b2f3e3a86dd3d81:0%22	https://www.mayoclinic.org/styles/css/gbs/mayocombined_F68868CE70D533DA7E11759741FF60564A9091A5.css	C:/inetrship/heath3/www.mayoclinic.org/styles/css/gbs/mayocombined_F68868CE70D533DA7E11759741FF60564A9091A5.css	(from https://www.mayoclinic.org/)
06:35:28	107966/107966	---M-Z	200	added ('OK')	text/css	etag:69ad8dc0bc0344b3a4092923ed13309b	https://www.mayoclinic.org/-/media/web/gbs/shared/css/top-task-landing.css?version=2	C:/inetrship/heath3/www.mayoclinic.org/-/media/web/gbs/shared/css/top-task-landing67d9.css	(from https://www.mayoclinic.org/)
